Method,Reference_Mode,Reference_Frequency,Reference_Damping,Count,MAD,Mean_Distance,Max_Distance
Order 2,Mode 1,0.6062,-0.08,1,0.2593790072069962,0.2593790072069962,0.2593790072069962
Order 4,Mode 1,0.6062,-0.08,7,0.4120159904475901,0.36398840287026546,0.5209637665400482
Order 6,Mode 1,0.6062,-0.08,9,0.3138681096820621,0.3350452839724313,0.6413602204297743
Tau 0.01,Mode 1,0.6062,-0.08,10,0.25466827611583653,0.29116887327996255,0.4790228586679924
Tau 0.01,Mode 3,1.0312,-0.2558,5,0.08534730792005668,0.08375289416790051,0.09600463339912574
Tau 0.01,Mode 4,1.1211,-0.3373,6,0.1703598938311438,0.15395354656442747,0.19517783208951187
Tau 0.1,Mode 1,0.6062,-0.08,9,0.25947846640157746,0.3251357153322936,0.6413602204297743
Tau 0.1,Mode 4,1.1211,-0.3373,2,0.17598255425377948,0.17598255425377948,0.17844326437004787
Tau 1,Mode 1,0.6062,-0.08,6,0.29821250575669933,0.3516866540658588,0.6413602204297743
