k,Cluster,Size,Representative_Frequency,Representative_Damping,MAD_2D,Mean_2D_Distance,Max_2D_Distance
10,1,42,0.5433661411483725,-0.1482327797422527,0.013729745131332082,0.015382348311379256,0.03684042822646878
10,2,16,1.0586311316158146,-0.7853132254012731,0.024466829710291127,0.02355087257196327,0.04725407412298832
10,3,1,0.5748156700621905,-1.2476259221011228,0.0,0.0,0.0
10,4,3,1.0867356536683581,-0.24779756789459348,0.01035095151248114,0.011838313464064129,0.01770827988873422
10,5,54,0.5420518851987794,-0.09957185826633605,0.016779485161392767,0.014929459804000159,0.03477477571861346
10,6,2,1.0803376957677628,-1.0512605612612806,0.06383814016531983,0.06383814016531983,0.06383814016531998
10,7,1,0.3028649351157434,-0.9247971472544236,0.0,0.0,0.0
10,8,8,1.0748558847368646,-0.632922231433268,0.03347235467713001,0.03717672745598158,0.07326692255854235
10,9,8,1.0393757574774853,-0.8420109774798076,0.014263327948835093,0.021051647834586004,0.0662460164007943
10,10,13,1.065462661909503,-0.7164895588461253,0.02336070654638095,0.022113203816730043,0.04036882239517545
