k,Cost,MAD_2D_overall,k_selected_by_max_chord
1,156.9758433055673,0.04162543735489883,False
2,29.229768509982684,0.029846739766755944,True
3,24.33846229302376,0.028644693637836702,False
4,20.656431854690776,0.028335145154431852,False
5,16.94911149802949,0.026660024292293343,False
6,13.827144615548018,0.017649989470957108,False
7,12.635900574413963,0.01220800846029707,False
8,11.362956280077263,0.011812468586358645,False
9,9.849754298499727,0.012181633167671154,False
10,8.712314572773913,0.01169838748447161,False
