Generator,Signal,Mean after detrend,Mean after LPF,Mean after demean
g1,Voltage,1.8249569637713918e-16,5.968510552146487e-08,1.2540169705856437e-20
g1,Current,2.1022897835773547e-16,-1.402150445957869e-07,-8.360113137237625e-21
g1,Active Power,6.316696385054448e-14,-5.7380654254006396e-05,8.917454013053465e-19
g1,Reactive Power,-1.925028632705878e-14,-0.00012102118652525879,8.560755852531328e-18
g2,Voltage,8.658847846674916e-17,6.468642983026558e-08,2.5080339411712874e-20
g2,Current,-5.566720667648626e-17,-1.5876722211880057e-07,-2.786704379079208e-20
g2,Active Power,6.487911502105076e-14,-2.736732101854183e-05,-1.4446275501146614e-17
g2,Reactive Power,-8.047110501379448e-16,-0.00021435538492846923,-2.853585284177109e-17
g3,Voltage,-8.137176786911288e-17,2.3516070418403306e-08,-5.2250707107735156e-21
g3,Current,2.436248436366207e-16,3.0770624160746314e-07,-6.409420071882179e-20
g3,Active Power,1.5591989992743724e-13,0.0003115921789333368,-5.707170568354218e-17
g3,Reactive Power,1.008000465782722e-13,-1.6487832127029589e-06,-1.4267926420885547e-18
g4,Voltage,5.958196898821673e-16,5.428648086118791e-08,-6.96676094769802e-21
g4,Current,4.081964574475224e-17,2.4059990063805227e-07,1.672022627447525e-20
g4,Active Power,4.759551967184684e-13,0.00025471085440876575,5.1364535115187967e-17
g4,Reactive Power,4.49154323729477e-14,4.435102222356622e-05,2.140188963132832e-18
